station_id,station_code,station_name,sample_date,depth1,depth2,ALK_mmol/l,Ca_mg/l,Cl_mg/l,K_mg/l,Mg_mg/l,NH4-N_µg/l N,NO3-N_µg/l N,Na_mg/l,SO4_mg/l,TOC_mg C/l,pH_
108,LAE01,"Langtjern, utlÃ¸p",1973-08-15 12:00:00,0.0,0.0,0.0,1.36,0.6,0.1,0.25,5.0,10.0,,,,5.19
108,LAE01,"Langtjern, utlÃ¸p",1973-08-17 12:00:00,0.0,0.0,0.0,1.38,0.6,0.1,0.25,5.0,10.0,,,,5.17
108,LAE01,"Langtjern, utlÃ¸p",1973-08-19 12:00:00,0.0,0.0,0.0,1.39,0.6,0.11,0.25,5.0,10.0,,,,5.08
108,LAE01,"Langtjern, utlÃ¸p",1973-08-21 10:00:00,0.0,0.0,0.0,1.44,0.8,0.1,0.24,5.0,10.0,,,,5.22
108,LAE01,"Langtjern, utlÃ¸p",1973-08-23 10:00:00,0.0,0.0,0.0,1.4,0.8,0.1,0.25,10.0,10.0,,,,5.21
108,LAE01,"Langtjern, utlÃ¸p",1973-08-24 10:00:00,0.0,0.0,0.0,1.41,0.8,0.09,0.24,10.0,10.0,,,,5.21
108,LAE01,"Langtjern, utlÃ¸p",1973-08-26 10:00:00,0.0,0.0,0.0,1.39,0.8,0.15,0.26,15.0,10.0,,,,5.27
108,LAE01,"Langtjern, utlÃ¸p",1973-08-28 10:00:00,0.0,0.0,0.0,1.39,0.8,0.17,0.26,20.0,10.0,,,,5.32
108,LAE01,"Langtjern, utlÃ¸p",1973-08-30 10:00:00,0.0,0.0,0.0,1.41,0.8,0.15,0.26,25.0,10.0,,,,5.35
108,LAE01,"Langtjern, utlÃ¸p",1973-09-01 12:00:00,0.0,0.0,0.0,1.38,0.8,0.16,0.26,5.0,10.0,,,,5.19
108,LAE01,"Langtjern, utlÃ¸p",1973-09-04 10:00:00,0.0,0.0,0.0,1.44,0.8,0.18,0.25,10.0,10.0,,,,5.55
108,LAE01,"Langtjern, utlÃ¸p",1973-09-06 10:00:00,0.0,0.0,0.0,1.41,0.8,0.21,0.25,5.0,10.0,,,,5.25
108,LAE01,"Langtjern, utlÃ¸p",1973-09-08 10:00:00,0.0,0.0,0.0,1.43,0.8,0.18,0.25,5.0,10.0,,,,5.25
108,LAE01,"Langtjern, utlÃ¸p",1973-09-09 13:15:00,0.0,0.0,0.0,1.4,0.8,0.16,0.25,10.0,10.0,,,,5.2
108,LAE01,"Langtjern, utlÃ¸p",1973-09-10 10:00:00,0.0,0.0,0.0,1.44,0.8,0.16,0.24,15.0,10.0,,,,5.26
108,LAE01,"Langtjern, utlÃ¸p",1973-09-11 10:00:00,0.0,0.0,0.0,1.42,0.7,0.19,0.24,15.0,10.0,,,,5.3
108,LAE01,"Langtjern, utlÃ¸p",1973-09-12 10:00:00,0.0,0.0,0.0,1.44,0.8,0.16,0.23,20.0,20.0,,,,5.28
108,LAE01,"Langtjern, utlÃ¸p",1973-09-13 10:00:00,0.0,0.0,0.0,1.42,0.7,0.17,0.23,15.0,10.0,,,,5.29
108,LAE01,"Langtjern, utlÃ¸p",1973-09-14 10:00:00,0.0,0.0,0.0,1.42,0.7,0.18,0.23,20.0,10.0,,,,5.29
108,LAE01,"Langtjern, utlÃ¸p",1973-09-15 18:00:00,0.0,0.0,0.0,1.38,0.6,0.15,0.24,15.0,10.0,,,,5.37
108,LAE01,"Langtjern, utlÃ¸p",1973-09-16 18:00:00,0.0,0.0,0.0,1.42,0.6,0.14,0.25,20.0,20.0,,,,5.31
108,LAE01,"Langtjern, utlÃ¸p",1973-09-17 18:00:00,0.0,0.0,0.0,1.43,0.6,0.15,0.25,25.0,10.0,,,,5.33
108,LAE01,"Langtjern, utlÃ¸p",1973-09-18 18:00:00,0.0,0.0,0.0,1.42,0.6,0.15,0.25,20.0,10.0,,,,5.35
108,LAE01,"Langtjern, utlÃ¸p",1973-09-19 18:00:00,0.0,0.0,0.0,1.42,0.6,0.15,0.25,20.0,10.0,,,,5.37
108,LAE01,"Langtjern, utlÃ¸p",1973-09-20 18:00:00,0.0,0.0,0.0,1.45,0.6,0.17,0.25,30.0,20.0,,,,5.34
108,LAE01,"Langtjern, utlÃ¸p",1973-09-21 13:00:00,0.0,0.0,0.0,1.45,0.6,0.15,0.25,15.0,10.0,,,,5.32
108,LAE01,"Langtjern, utlÃ¸p",1973-09-23 00:00:00,0.0,0.0,0.0,1.4,0.6,0.16,0.25,20.0,20.0,,,,5.33
108,LAE01,"Langtjern, utlÃ¸p",1973-09-25 00:00:00,0.0,0.0,0.0,1.4,0.8,0.15,0.25,10.0,20.0,,,,5.25
108,LAE01,"Langtjern, utlÃ¸p",1973-09-27 00:00:00,0.0,0.0,0.0,1.39,0.7,0.14,0.25,10.0,10.0,,,,5.22
108,LAE01,"Langtjern, utlÃ¸p",1973-09-29 14:30:00,0.0,0.0,0.0,1.39,0.7,0.15,0.25,5.0,10.0,,,,5.13
108,LAE01,"Langtjern, utlÃ¸p",1973-09-30 14:30:00,0.0,0.0,0.0,1.39,0.7,0.15,0.25,5.0,20.0,,,,5.18
108,LAE01,"Langtjern, utlÃ¸p",1973-10-01 14:30:00,0.0,0.0,0.0,1.41,0.7,0.17,0.25,5.0,20.0,,,,5.13
108,LAE01,"Langtjern, utlÃ¸p",1973-10-02 14:30:00,0.0,0.0,0.0,1.4,0.7,0.15,0.25,5.0,10.0,,,,5.08
108,LAE01,"Langtjern, utlÃ¸p",1973-10-03 14:30:00,0.0,0.0,0.0,1.4,0.7,0.15,0.25,5.0,10.0,,,,5.03
108,LAE01,"Langtjern, utlÃ¸p",1973-10-04 14:30:00,0.0,0.0,0.0,1.4,0.7,0.16,0.26,5.0,10.0,,,,5.0
108,LAE01,"Langtjern, utlÃ¸p",1973-10-05 14:30:00,0.0,0.0,0.0,1.42,0.7,0.14,0.26,5.0,10.0,,,,4.97
108,LAE01,"Langtjern, utlÃ¸p",1973-10-06 11:00:00,0.0,0.0,0.0,1.43,0.7,0.14,0.26,5.0,10.0,,,,4.9
108,LAE01,"Langtjern, utlÃ¸p",1973-10-08 23:00:00,0.0,0.0,0.0,1.45,0.8,0.14,0.19,15.0,10.0,,,,4.96
108,LAE01,"Langtjern, utlÃ¸p",1973-10-12 11:00:00,0.0,0.0,0.0,1.51,0.8,0.13,0.2,20.0,10.0,,,,4.97
108,LAE01,"Langtjern, utlÃ¸p",1973-10-14 14:30:00,0.0,0.0,0.0,1.46,0.8,0.13,0.24,10.0,10.0,,,,4.88
108,LAE01,"Langtjern, utlÃ¸p",1973-10-19 14:00:00,0.0,0.0,0.0,1.52,0.7,0.14,0.28,5.0,10.0,,,,4.99
108,LAE01,"Langtjern, utlÃ¸p",1973-10-25 00:00:00,0.0,0.0,0.0,1.52,0.8,0.1,0.28,10.0,10.0,,,,5.11
108,LAE01,"Langtjern, utlÃ¸p",1973-11-02 12:00:00,0.0,0.0,0.0,1.52,0.8,0.1,0.27,10.0,10.0,,,,5.12
108,LAE01,"Langtjern, utlÃ¸p",1973-11-09 00:00:00,0.0,0.0,0.0,1.47,0.8,0.14,0.3,20.0,10.0,,,,4.92
108,LAE01,"Langtjern, utlÃ¸p",1973-11-16 00:00:00,0.0,0.0,0.0,1.5,0.8,0.12,0.3,15.0,30.0,,,,4.93
108,LAE01,"Langtjern, utlÃ¸p",1973-11-23 00:00:00,0.0,0.0,0.0,1.54,0.8,0.12,0.29,50.0,20.0,,,,4.84
108,LAE01,"Langtjern, utlÃ¸p",1973-11-29 00:00:00,0.0,0.0,0.0,1.6,0.8,0.12,0.3,35.0,100.0,,,,4.73
108,LAE01,"Langtjern, utlÃ¸p",1973-12-06 00:00:00,0.0,0.0,0.0,1.61,0.8,0.14,0.3,30.0,10.0,,,,4.91
108,LAE01,"Langtjern, utlÃ¸p",1973-12-14 00:00:00,0.0,0.0,0.0,1.63,0.8,0.13,0.3,40.0,10.0,,,,5.22
108,LAE01,"Langtjern, utlÃ¸p",1973-12-22 00:00:00,0.0,0.0,0.0,1.64,0.8,0.12,0.3,,20.0,,,,5.01
108,LAE01,"Langtjern, utlÃ¸p",1974-01-03 00:00:00,0.0,0.0,0.0,1.64,0.8,0.13,0.3,90.0,20.0,,,,5.01
